NAME,RATING,AREA,DISHES,APPROX,DISC
Bella Aroma4.6,4.6,"Crowne Plaza, Ahmedabad",Cafe₹ 700 for two approx.,₹ 700 for two approx.,30% Off + 25% Off
South Leaf - The Food Chain4.4,4.4,"Prahlad Nagar, West Ahmedabad",South Indian₹ 900 for two approx.,₹ 900 for two approx.,15% Off + 25% Off
Essence4.5,4.5,"Crowne Plaza, Ahmedabad","Indian, North Indian₹ 2000 for two approx.",₹ 2000 for two approx.,20% Off + 25% Off
The Chocolate Room5.0,5.0,"Prahlad Nagar, West Ahmedabad  | View All(22) Outlets",Bakery₹ 500 for two approx.,₹ 500 for two approx.,35% Off + 25% Off
Sphere Lounge4.2,4.2,"Hotel Ramada, Ahmedabad","Indian, Continental₹ 900 for two approx.",₹ 900 for two approx.,10% Off + 25% Off
Sky Grill3.2,3.2,"Crowne Plaza, Ahmedabad","European, Indian₹ 1800 for two approx.",₹ 1800 for two approx.,25% Off + 25% Off
The Shaka Cafe4.1,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
La Milano Pizzeria2.5,2.5,"Prahlad Nagar, West Ahmedabad  | View All(2) Outlets",Pizza₹ 500 for two approx.,₹ 500 for two approx.,25% Off + 25% Off
Sundew4.4,4.4,"Hotel Ramada, Ahmedabad",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,10% Off + 25% Off
Gwalia Vanakkam3.0,3.0,"Prahlad Nagar, West Ahmedabad  | View All(3) Outlets",South Indian₹ 800 for two approx.,₹ 800 for two approx.,20% Off + 25% Off
Devi Coffee Day4.5,4.5,"Satellite, West Ahmedabad","Cafe, Fast Food₹ 600 for two approx.",₹ 600 for two approx.,15% Off + 25% Off
Barbeque Nation4.5,4.5,"Prahlad Nagar, West Ahmedabad  | View All(3) Outlets",Multicuisine₹ 2100 for two approx.,₹ 2100 for two approx.,25% Off :Payeazy
Amritsar Haveli3.6,3.6,"Prahlad Nagar, West Ahmedabad  | View All(2) Outlets",Multicuisine₹ 1100 for two approx.,₹ 1100 for two approx.,30% Off + 25% Off
Kitcha: Together We Eat5.0,5.0,"Prahlad Nagar, West Ahmedabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,15% Off + 25% Off
Salad Time4.0,4.0,"Prahlad Nagar, West Ahmedabad  | View All(2) Outlets","Healthy Food, Salad₹ 500 for two approx.",₹ 500 for two approx.,20% Off + 25% Off
1944 The Hocco Kitchen5.0,5.0,"Prahlad Nagar, West Ahmedabad  | View All(8) Outlets",North Indian₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Grill Kitchen4.7,4.7,"Prahlad Nagar, West Ahmedabad  | View All(4) Outlets",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,15% Off + 25% Off
Express Cafe4.2,4.2,Holiday Inn Express Ahmedabad Prahlad Nagar ,Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,25% Off + 25% Off
SambharSa5.0,5.0,"Prahlad Nagar, West Ahmedabad",Multicuisine₹ 400 for two approx.,₹ 400 for two approx.,25% Off :Payeazy
Fruitose5.0,5.0,"Bopal, West Ahmedabad",Beverages₹ 450 for two approx.,₹ 450 for two approx.,10% Off + 25% Off
Starboy Pizza4.0,4.0,"Prahlad Nagar, West Ahmedabad","Desserts, Italian₹ 300 for two approx.",₹ 300 for two approx.,25% Off :Payeazy
Numeron4.4,4.4,"Bodakdev, West Ahmedabad","North Indian, Chinese, Italian₹ 1100 for two approx.",₹ 1100 for two approx.,40% Off + 25% Off
Three Quarter Indian4.4,4.4,"Satellite, West Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,20% Off + 25% Off
Table Tales4.7,4.7,"Bodakdev, West Ahmedabad  | View All(3) Outlets",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
The Chocolate Room Judges Bunglow4.8,4.8,"Bodakdev, West Ahmedabad",Bakery₹ 500 for two approx.,₹ 500 for two approx.,50% Off + 25% Off
Veranda Rooftop Restro Cafe5.0,5.0,"Jodhpur Village, Ahmedabad  | View All(2) Outlets",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,25% Off + 25% Off
Mirch Masala5.0,5.0,"Satellite, West Ahmedabad  | View All(8) Outlets","Mughlai, North Indian₹ 1000 for two approx.",₹ 1000 for two approx.,20% Off + 25% Off
Banjara- Gourmet Dining4.3,4.3,"Bodakdev, West Ahmedabad",Multicuisine₹ 1700 for two approx.,₹ 1700 for two approx.,15% Off + 25% Off
MAD By Tomato's5.0,5.0,"Bodakdev, West Ahmedabad  | View All(4) Outlets",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
The Square - Novotel4.2,4.2,"Novotel, Ahmedabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,35% Off + 25% Off
Curries5.0,5.0,"Bodakdev, West Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Pizzaiiolo - The Wood Fired Pizza	4.3,4.3,"Prahlad Nagar, West Ahmedabad  | View All(4) Outlets",Pizza₹ 600 for two approx.,₹ 600 for two approx.,15% Off + 25% Off
Daksheen Narmada - The Secret Spice4.9,4.9,"Prahlad Nagar, West Ahmedabad",South Indian₹ 1000 for two approx.,₹ 1000 for two approx.,15% Off + 25% Off
Tuk Tuk Thai - Pure Veg Asian Fine Dine5.0,5.0,"Bodakdev, West Ahmedabad",Asian₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Gormoh4.6,4.6,"Bodakdev, West Ahmedabad  | View All(1) Outlets",Multicuisine₹ 1100 for two approx.,₹ 1100 for two approx.,10% Off + 25% Off
Desi Rasoi5.0,5.0,"Satellite, West Ahmedabad",Gujarati₹ 800 for two approx.,₹ 800 for two approx.,20% Off + 25% Off
Huber & Holly4.4,4.4,"Bodakdev, West Ahmedabad  | View All(4) Outlets",Ice Cream₹ 500 for two approx.,₹ 500 for two approx.,15% Off + 25% Off
Ishtaa - Truly South Indian4.5,4.5,"Bodakdev, West Ahmedabad",South Indian₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Rustic Spices Cafe And Restaurant4.2,4.2,"Bopal, West Ahmedabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
Moti Mahal Tandoori Trail4.7,4.7,"Thaltej, West Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Burnt Turnt5.0,5.0,"Bopal, West Ahmedabad",North Indian₹ 1800 for two approx.,₹ 1800 for two approx.,25% Off + 25% Off
Collage5.0,5.0,"Hyatt, Ahmedabad",Multicuisine₹ 1700 for two approx.,₹ 1700 for two approx.,50% Off + 25% Off
Laurel - An Essence Of Flavors5.0,5.0,"Ambli, Ahmedabad",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,20% Off + 25% Off
Bayleaf4.5,4.5,"Le Meriden, Ahmedabad",Indian₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Roastery Cultur - The Coffee Company4.5,4.5,"Bodakdev, West Ahmedabad","Beverages, Coffee and Tea₹ 700 for two approx.",₹ 700 for two approx.,10% Off + 25% Off
Topspin4.2,4.2,"Devarc Mall, Ramdev Nagar",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
The Penthouse Chapter 1- By Novel Chef3.9,3.9,"Prahlad Nagar, West Ahmedabad",Multicuisine₹ 1100 for two approx.,₹ 1100 for two approx.,10% Off + 25% Off
The Trophy5.0,5.0,"Makarba, Ahmedabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,15% Off + 25% Off
The Market4.0,4.0,"Le Meriden, Ahmedabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,15% Off + 25% Off
@Mango4.7,4.7,"Bodakdev, West Ahmedabad",Multicuisine₹ 3500 for two approx.,₹ 3500 for two approx.,Cover Charge + 25% Off
Xia Rooftop Bistro 4.8,4.8,"Bodakdev, West Ahmedabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Govinda's3.7,3.7,"Satellite, West Ahmedabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
The House of Makeba4.4,4.4,"Bodakdev, West Ahmedabad  | View All(5) Outlets",Continental₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
The Starry Foliage4.3,4.3,"Bopal, West Ahmedabad",Multicuisine₹ 1100 for two approx.,₹ 1100 for two approx.,10% Off + 25% Off
Union5.0,5.0,"Ambli, Ahmedabad",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,10% Off + 25% Off
Cafe Treat4.2,4.2,"The Pride Hotel, Ahmedabad",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,30% Off + 25% Off
Neem Chowk- Under The Neem Tree 5.0,5.0,"Bodakdev, West Ahmedabad","Gujarati, Rajasthani₹ 2500 for two approx.",₹ 2500 for two approx.,Cover Charge + 25% Off
Neem Dream- Under the neem Tree5.0,5.0,"Bodakdev, West Ahmedabad",Multicuisine₹ 4000 for two approx.,₹ 4000 for two approx.,Cover Charge + 25% Off
Neem County- Under The Neem Tree4.5,4.5,"Bodakdev, West Ahmedabad","Continental, oriental, North Indian₹ 3000 for two approx.",₹ 3000 for two approx.,Cover Charge + 25% Off
Lithosphere By Upper Crust4.2,4.2,"Bodakdev, West Ahmedabad  | View All(4) Outlets",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,25% Off :Payeazy
Sizzling Barbeque4.4,4.4,"The Pride Hotel, Ahmedabad",Barbeque₹ 700 for two approx.,₹ 700 for two approx.,30% Off + 25% Off
The Global Platter4.0,4.0,"Prahlad Nagar, West Ahmedabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
Espresso Martini4.0,4.0,"Prahlad Nagar, West Ahmedabad","Italian, Cafe₹ 600 for two approx.",₹ 600 for two approx.,20% Off + 25% Off
Infine-By Novotel4.0,4.0,"Sarkhej, West Ahmedabad",European₹ 3000 for two approx.,₹ 3000 for two approx.,25% Off :Payeazy
Sarây By Tanoor4.8,4.8,"Bodakdev, West Ahmedabad",Middle Eastern₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Fozzie's Pizzaiolo4.1,4.1,"Bodakdev, West Ahmedabad","Italian, Continental₹ 900 for two approx.",₹ 900 for two approx.,10% Off + 25% Off
Arbre4.0,4.0,"Ambli, Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Toska 4.0,4.0,"Bodakdev, West Ahmedabad",Fast Food₹ 700 for two approx.,₹ 700 for two approx.,30% Off + 25% Off
Mehfil-E-Zaika Restaurant5.0,5.0,"Juhapura, Ahmedabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Tim Tim4.8,4.8,"Bodakdev, West Ahmedabad",Asian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off :Payeazy
I love Sandwich House4.0,4.0,"Bodakdev, West Ahmedabad","Cafe, Fast Food₹ 900 for two approx.",₹ 900 for two approx.,10% Off + 25% Off
Amala4.2,4.2,"Bodakdev, West Ahmedabad",Multicuisine₹ 1100 for two approx.,₹ 1100 for two approx.,10% Off + 25% Off
Hobnob Bistro4.4,4.4,"Bodakdev, West Ahmedabad","Multicuisine, Fast Food₹ 800 for two approx.",₹ 800 for two approx.,25% Off + 25% Off
FC Food Centre1.0,1.0,"Makarba, Ahmedabad",Multicuisine₹ 550 for two approx.,₹ 550 for two approx.,Free Beverages + 25% Off
Kake Di Hatti3.6,3.6,"Satellite, West Ahmedabad",North Indian₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Chenab By Bhullar's 5.0,5.0,"Bodakdev, West Ahmedabad",North Indian₹ 2500 for two approx.,₹ 2500 for two approx.,10% Off + 25% Off
Oven The Bakery4.0,4.0,"Satellite, West Ahmedabad","Bakery, Cafe₹ 600 for two approx.",₹ 600 for two approx.,10% Off + 25% Off
Level 14.0,4.0,"Thaltej, West Ahmedabad","Beverages, Multicuisine₹ 1000 for two approx.",₹ 1000 for two approx.,30% Off + 25% Off
Wat A Burger!4.0,4.0,"Bodakdev, West Ahmedabad",Fast Food₹ 600 for two approx.,₹ 600 for two approx.,25% Off + 25% Off
Finch Brew Cafe4.0,4.0,"Thaltej, West Ahmedabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off + 25% Off
Baba Budan Cafe5.0,5.0,"Bodakdev, West Ahmedabad",Cafe₹ 600 for two approx.,₹ 600 for two approx.,20% Off + 25% Off
Wave4.3,4.3,DoubleTree by Hilton Ahmedabad,Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Abi's Cafe 5.0,5.0,"Bopal, West Ahmedabad",Cafe₹ 600 for two approx.,₹ 600 for two approx.,15% Off + 25% Off
Smash Cafe4.0,4.0,"Bopal, West Ahmedabad",Fast Food₹ 500 for two approx.,₹ 500 for two approx.,15% Off + 25% Off
Java+ 4.0,4.0,"Le Meriden, Ahmedabad","Coffee, Fast Food₹ 1000 for two approx.",₹ 1000 for two approx.,15% Off + 25% Off
Herbs on Fire4.0,4.0,Iskcon Cross Road,Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
Drift4.0,4.0,"Le Meriden, Ahmedabad","European, Modern Indian₹ 1500 for two approx.",₹ 1500 for two approx.,15% Off + 25% Off
Air Bistro5.0,5.0,"Bodakdev, West Ahmedabad",Cafe₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Cafe Deli -Tel4.0,4.0,"Novotel, Ahmedabad",Cafe₹ 1500 for two approx.,₹ 1500 for two approx.,15% Off + 25% Off
Chai Hai Na3.8,3.8,"Bopal, West Ahmedabad",Fast Food₹ 400 for two approx.,₹ 400 for two approx.,15% Off + 25% Off
Boss Burger Brews & B.B.Q.S4.0,4.0,"Bodakdev, West Ahmedabad",American₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
11 Inch Pie4.0,4.0,"Prahlad Nagar, West Ahmedabad",Italian₹ 500 for two approx.,₹ 500 for two approx.,10% Off + 25% Off
Jalaram Khichdi Restaurant3.5,3.5,"Bopal, West Ahmedabad",Gujarati₹ 500 for two approx.,₹ 500 for two approx.,10% Off + 25% Off
Ishaara4.6,4.6,"Palladium Mall , West Ahmedabad","Beverages, Modern Indian₹ 1000 for two approx.",₹ 1000 for two approx.,25% Off + 25% Off
The Grill Street4.6,4.6,"Satellite, West Ahmedabad",Barbeque₹ 800 for two approx.,₹ 800 for two approx.,25% Off :Payeazy
Jalpaan Restaurant4.3,4.3,"Thaltej, West Ahmedabad","Beverages, Multicuisine₹ 900 for two approx.",₹ 900 for two approx.,25% Off + 25% Off
Taco Bell5.0,5.0,"Sarkhej, West Ahmedabad  | View All(5) Outlets","Tex-Mex, Mexican₹ 400 for two approx.",₹ 400 for two approx.,25% Off :Payeazy
Ashray The Restaurant	2.5,2.5,"Bodakdev, West Ahmedabad  | View All(1) Outlets",Multicuisine₹ 700 for two approx.,₹ 700 for two approx.,10% Off + 25% Off
The Eatery4.6,4.6,"Four Points by Sheraton, Ahmedabad",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,40% Off + 25% Off
Airi Cafe4.7,4.7,"Bodakdev, West Ahmedabad",Bakery₹ 600 for two approx.,₹ 600 for two approx.,25% Off :Payeazy
Punjab Grill4.1,4.1,"Palladium Mall , West Ahmedabad",North Indian₹ 800 for two approx.,₹ 800 for two approx.,20% Off + 25% Off
Coffee Culture4.0,4.0,"Bodakdev, West Ahmedabad  | View All(2) Outlets",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,25% Off :Payeazy
Sambar Cafe4.0,4.0,"Bodakdev, West Ahmedabad",South Indian₹ 600 for two approx.,₹ 600 for two approx.,Extra 200 EazyPoints + 25% Off
Khana Khazana4.0,4.0,"Hotel Inder Residency, Ahmedabad",North Indian₹ 1200 for two approx.,₹ 1200 for two approx.,30% Off + 25% Off
Crazy Plant Lady- A Plant Boutique Cafe4.0,4.0,"Bodakdev, West Ahmedabad  | View All(2) Outlets",Continental₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Kuro4.3,4.3,Renaissance Ahmedabad Hotel,Pan Asian₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off + 25% Off
Virasat-E-curry4.8,4.8,"Bodakdev, West Ahmedabad",North Indian₹ 1100 for two approx.,₹ 1100 for two approx.,15% Off + 25% Off
Esencia Restaurant & Banquet4.0,4.0,"Bopal, West Ahmedabad",North Indian₹ 1200 for two approx.,₹ 1200 for two approx.,30% Off + 25% Off
TG’s The Oriental Grill 4.3,4.3,"Hyatt, Ahmedabad",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off + 25% Off
Nomad Experience4.0,4.0,"C G Road, West Ahmedabad",Pizza₹ 2000 for two approx.,₹ 2000 for two approx.,40% Off + 25% Off
Bluez Garden Cafe & Restaurant4.0,4.0,"Bopal, West Ahmedabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,40% Off + 25% Off
Bellasen Bistro4.6,4.6,"Bodakdev, West Ahmedabad",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
Angithi A Pure Veg Restaurant By Mirch Masala 5.0,5.0,"Bodakdev, West Ahmedabad",North Indian₹ 1400 for two approx.,₹ 1400 for two approx.,15% Off + 25% Off
Artisan4.3,4.3,"Navrangpura, West Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,30% Off + 25% Off
Tres Amigos4.2,4.2,"Thaltej, West Ahmedabad",Mexican₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Z27 Coffee Bar4.0,4.0,"Thaltej, West Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
Cafe 1st Story- Fairfield By Marriott4.3,4.3,Fairfield by Marriott Ahmedabad,Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,30% Off + 25% Off
Cafe Padmanabham5.0,5.0,"Vastrapur, West Ahmedabad",Fast Food₹ 400 for two approx.,₹ 400 for two approx.,15% Off + 25% Off
Umami by Curries4.0,4.0,"Ambavadi, West Ahmedabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
Sankalp Signature4.3,4.3,"Thaltej, West Ahmedabad",South Indian₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Kovallam Restaurant: The South Indian Kitchen4.5,4.5,"Satellite, West Ahmedabad  | View All(3) Outlets",South Indian₹ 700 for two approx.,₹ 700 for two approx.,10% Off + 25% Off
Dheemi Aanch4.7,4.7,"Bodakdev, West Ahmedabad",Multicuisine₹ 850 for two approx.,₹ 850 for two approx.,10% Off + 25% Off
Dosawala 5.0,5.0,"Sola, West Ahmedabad  | View All(3) Outlets",South Indian₹ 500 for two approx.,₹ 500 for two approx.,20% Off + 25% Off
DosBros Fresh Mexican Grill4.0,4.0,"Thaltej, West Ahmedabad",Mexican₹ 1000 for two approx.,₹ 1000 for two approx.,30% Off + 25% Off
CHA4.4,4.4,"Palladium Mall, Thaltej",Pan Asian₹ 1450 for two approx.,₹ 1450 for two approx.,20% Off + 25% Off
Varietea- Science City4.0,4.0,"Sola, West Ahmedabad","Cafe, Italian₹ 1000 for two approx.",₹ 1000 for two approx.,20% Off + 25% Off
Peshawri3.2,3.2,"ITC Narmada, a Luxury Collection Hotel, Ahmedabad",Indian₹ 2500 for two approx.,₹ 2500 for two approx.,10% Off + 25% Off
Timpani4.2,4.2,"Radisson Blu, Ahmedabad",Multicuisine₹ 1600 for two approx.,₹ 1600 for two approx.,30% Off + 25% Off
Dakshin Bhojnam4.2,4.2,"Nikol, East Ahmedabad  | View All(3) Outlets",South Indian₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
Agashiye 4.6,4.6,"The House of MG, Central Ahmedabad",Gujarati₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Sale & Pepe - Ristorante Italiano4.0,4.0,"Shela, Bopal  | View All(3) Outlets",Italian₹ 1500 for two approx.,₹ 1500 for two approx.,15% Off + 25% Off
Riviera Restaurant4.5,4.5,"Ashram Road, Central Ahmedabad",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,25% Off + 25% Off
Pol 214.2,4.2,"Thaltej, West Ahmedabad","Chinese, Indian₹ 1200 for two approx.",₹ 1200 for two approx.,50% Off + 25% Off
Sankalp4.3,4.3,"Sola, West Ahmedabad  | View All(14) Outlets",South Indian₹ 600 for two approx.,₹ 600 for two approx.,15% Off + 25% Off
Beeji Punjabi Restaurant & Banquets5.0,5.0,"Naroda, East Ahmedabad","North Indian, Asian₹ 1000 for two approx.",₹ 1000 for two approx.,25% Off + 25% Off
Cray Craft4.4,4.4,"Andheri East, Western Suburbs","Chinese, Indian₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
Kitty Su2.3,2.3,"The Lalit, Mumbai","Drinks Only, Finger Food, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
Novaara4.1,4.1,"Malad West, Western Suburbs",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,25% Off
Luuma House4.7,4.7,"Juhu, Western Suburbs","Japanese, Chinese₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
The Tanjore Tiffin Room4.5,4.5,"Khar, Western Suburbs  | View All(3) Outlets",Tamil Nadu₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off
The Caravan Menu4.5,4.5,"Panch Pakhadi, Thane West",Multicuisine₹ 2600 for two approx.,₹ 2600 for two approx.,25% Off
Baliboo4.2,4.2,"Goregaon East, Western Suburbs",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,25% Off
Eve4.7,4.7,"Worli, South Mumbai  | View All(3) Outlets",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off
Gigi4.1,4.1,"Bandra West, Western Suburbs","Japanese, European₹ 3100 for two approx.",₹ 3100 for two approx.,25% Off
La Panthera4.6,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European₹ 4000 for two approx.,₹ 4000 for two approx.,25% Off
Si Nonna's - The Original Sourdough Pizza4.6,4.6,"Bandra Kurla Complex (BKC), Western Suburbs  | View All(3) Outlets",Italian₹ 1700 for two approx.,₹ 1700 for two approx.,25% Off
Mahesh Lunch Home4.5,4.5,"Juhu, Western Suburbs  | View All(5) Outlets",Indian Coastal Cuisine₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off
Butterfly High4.7,4.7,"Vikhroli, Central Mumbai  | View All(6) Outlets",Multicuisine₹ 3000 for two approx.,₹ 3000 for two approx.,25% Off
Alfredo's4.4,4.4,"Hotel King's International, Mumbai  | View All(3) Outlets",Continental₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off
Amelia4.6,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",Modern European₹ 3000 for two approx.,₹ 3000 for two approx.,25% Off
On Toes Restaurant4.4,4.4,"Juhu, Western Suburbs  | View All(1) Outlets",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off
Golden Delicacy Restaurant & Banquets3.5,3.5,"Malad West, Western Suburbs",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off
Blabber All Day4.8,4.8,"Borivali East, Western Suburbs","Continental, Asian₹ 1500 for two approx.",₹ 1500 for two approx.,25% Off
Ode4.7,4.7,"Worli, South Mumbai",European₹ 3000 for two approx.,₹ 3000 for two approx.,25% Off
The Coconut Boy3.4,3.4,"Bandra West, Western Suburbs",Goan₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off
